movie_id,primary_title,start_year,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,popularity,vote_average,vote_count,original_title,title,total_gross,id,release_date,movie,production_budget,domestic_gross_income,worldwide_gross,profit,release_year
tt0471042,tower heist,2011,"Action,Comedy,Crime",6.2,125102.0,Uni.,78000000.0,74900000.0,12.213,6.0,1592,Tower Heist,the mechanic,152900000.0,5,"Nov 4, 2011",tower heist,85000000.0,78046570.0,150422946.0,65422946.0,2011
tt0472181,the smurfs,2011,"Adventure,Animation,Comedy",5.5,77577.0,Sony,142600000.0,421100000.0,16.533,5.6,2112,The Smurfs,prince of persia: the sands of time,563700000.0,20,"Jul 29, 2011",the smurfs,110000000.0,142614158.0,563749323.0,453749323.0,2011
tt0472399,the mechanic,2011,"Action,Crime,Thriller",6.6,141254.0,CBS,29100000.0,47000000.0,14.387,6.3,1676,The Mechanic,"hail, caesar!",76100000.0,42,"Jan 28, 2011",the mechanic,42500000.0,29121498.0,76347393.0,33847393.0,2011
tt0475290,"hail, caesar!",2016,"Comedy,Drama,Music",6.3,111422.0,Uni.,30500000.0,33100000.0,12.312,5.9,2328,"Hail, Caesar!",extremely loud & incredibly close,63600000.0,22,"Feb 5, 2016","hail, caesar!",22000000.0,30080225.0,64160680.0,42160680.0,2016
tt0477080,unstoppable,2010,"Action,Thriller",6.8,173019.0,Fox,81600000.0,86200000.0,14.01,6.4,1913,Unstoppable,the tree of life,167800000.0,19,"Nov 12, 2010",unstoppable,95000000.0,81562942.0,165720921.0,70720921.0,2010
tt0478304,the tree of life,2011,"Drama,Fantasy",6.8,156266.0,FoxS,13300000.0,41000000.0,11.569,6.6,1730,The Tree of Life,season of the witch,54300000.0,24,"May 27, 2011",the tree of life,35000000.0,13305665.0,61721826.0,26721826.0,2011
tt0478970,ant-man,2015,"Action,Adventure,Comedy",7.3,501213.0,BV,180200000.0,339100000.0,32.715,7.1,11949,Ant-Man,the losers,519300000.0,43,"Jul 17, 2015",ant-man,130000000.0,180202163.0,518858449.0,388858449.0,2015
tt0479997,season of the witch,2011,"Action,Adventure,Fantasy",5.4,85777.0,Rela.,24800000.0,66800000.0,12.535,5.3,1352,Season of the Witch,hall pass,91600000.0,89,"Jan 7, 2011",season of the witch,40000000.0,24827228.0,91126600.0,51126600.0,2011
tt0480255,the losers,2010,"Action,Adventure,Crime",6.4,83876.0,WB,23600000.0,5800000.0,10.202,6.2,844,The Losers,the croods,29400000.0,44,"Apr 23, 2010",the losers,25000000.0,23591432.0,29863840.0,4863840.0,2010
tt0480687,hall pass,2011,"Comedy,Romance",5.9,113775.0,WB (NL),45100000.0,38100000.0,9.984,5.5,1009,Hall Pass,red tails,83200000.0,57,"Feb 25, 2011",hall pass,68000000.0,45060734.0,87173475.0,19173475.0,2011
tt0481499,the croods,2013,"Action,Adventure,Animation",7.2,176699.0,Fox,187200000.0,400000000.0,16.29,6.8,3873,The Croods,something borrowed,587200000.0,26,"Mar 22, 2013",the croods,135000000.0,187168425.0,573068425.0,438068425.0,2013
tt0485985,red tails,2012,"Action,Adventure,Drama",5.9,31815.0,Fox,49900000.0,489000.0,10.247,6.0,256,Red Tails,suburbicon,50389000.0,61,"Jan 20, 2012",red tails,58000000.0,49876377.0,50365498.0,-7634502.0,2012
tt0491152,something borrowed,2011,"Comedy,Drama,Romance",5.9,54314.0,WB,39000000.0,21100000.0,7.567,6.1,591,Something Borrowed,suburbicon,60100000.0,72,"May 6, 2011",something borrowed,35000000.0,39046489.0,65084116.0,30084116.0,2011
tt0491203,tulip fever,2017,"Drama,History,Romance",6.2,15037.0,Wein.,2500000.0,5900000.0,9.89,6.4,307,Tulip Fever,rings,8400000.0,8,"Sep 1, 2017",tulip fever,25000000.0,2455635.0,6792768.0,-18207232.0,2017
tt0492389,furry vengeance,2010,"Comedy,Family",3.8,14700.0,Sum.,17600000.0,18600000.0,9.45,4.6,283,Furry Vengeance,a thousand words,36200000.0,17,"Apr 30, 2010",furry vengeance,35000000.0,17630465.0,39340177.0,4340177.0,2010
tt0493949,ramona and beezus,2010,"Adventure,Comedy,Family",6.6,16086.0,Fox,26200000.0,1100000.0,7.442,6.3,460,Ramona and Beezus,what's your number?,27300000.0,60,"Jul 23, 2010",ramona and beezus,15000000.0,26167002.0,27469621.0,12469621.0,2010
tt0498381,rings,2017,"Drama,Horror,Mystery",4.5,34151.0,Par.,27800000.0,55300000.0,13.53,4.9,1785,Rings,the wolfman,83100000.0,38,"Feb 3, 2017",rings,25000000.0,27793018.0,82917283.0,57917283.0,2017
tt0763831,a thousand words,2012,"Comedy,Drama",5.9,36387.0,P/DW,18500000.0,3600000.0,8.017000000000001,6.1,685,A Thousand Words,the boxtrolls,22100000.0,1,"Mar 9, 2012",a thousand words,40000000.0,18450127.0,20790486.0,-19209514.0,2012
tt0770703,what's your number?,2011,"Comedy,Romance",6.1,67922.0,Fox,14000000.0,16399999.0,10.390999999999998,6.4,1271,What's Your Number?,the incredible burt wonderstone,30399999.0,24,"Sep 30, 2011",what's your number?,20000000.0,14011084.0,30163785.0,10163785.0,2011
tt0770828,man of steel,2013,"Action,Adventure,Sci-Fi",7.1,647288.0,WB,291000000.0,377000000.0,27.667,6.5,9758,Man of Steel,dallas buyers club,668000000.0,29,"Jun 14, 2013",man of steel,225000000.0,291045518.0,667999518.0,442999518.0,2013
tt0780653,the wolfman,2010,"Drama,Fantasy,Horror",5.8,97873.0,Uni.,62000000.0,77800000.0,14.03,5.7,1009,The Wolfman,dallas buyers club,139800000.0,91,"Feb 12, 2010",the wolfman,150000000.0,62189884.0,142634358.0,-7365642.0,2010
tt0787474,the boxtrolls,2014,"Adventure,Animation,Comedy",6.8,50763.0,Focus,50800000.0,58400000.0,11.219,6.7,1016,The Boxtrolls,jack reacher,109200000.0,94,"Sep 26, 2014",the boxtrolls,60000000.0,50837305.0,111946251.0,51946251.0,2014
tt0790628,the incredible burt wonderstone,2013,"Adventure,Comedy,Fantasy",5.9,67549.0,WB (NL),22500000.0,4900000.0,9.362,5.4,920,The Incredible Burt Wonderstone,r.i.p.d.,27400000.0,7,"Mar 15, 2013",the incredible burt wonderstone,32000000.0,22537881.0,27392609.0,-4607391.0,2013
tt0790636,dallas buyers club,2013,"Biography,Drama",8.0,402462.0,Focus,27300000.0,27900000.0,12.389,7.9,4961,Dallas Buyers Club,scary movie 5,55200000.0,73,"Nov 1, 2013",dallas buyers club,5000000.0,27298285.0,60611845.0,55611845.0,2013
tt0790636,dallas buyers club,2013,"Biography,Drama",8.0,402462.0,Focus,27300000.0,27900000.0,12.389,7.9,4961,Dallas Buyers Club,thor,55200000.0,73,"Nov 1, 2013",dallas buyers club,5000000.0,27298285.0,60611845.0,55611845.0,2013
tt0790636,dallas buyers club,2013,"Biography,Drama",8.0,402462.0,Focus,27300000.0,27900000.0,12.389,7.9,4961,Dallas Buyers Club,warcraft,55200000.0,73,"Nov 1, 2013",dallas buyers club,5000000.0,27298285.0,60611845.0,55611845.0,2013
tt0790636,dallas buyers club,2013,"Biography,Drama",8.0,402462.0,Focus,27300000.0,27900000.0,12.389,7.9,4961,Dallas Buyers Club,it's kind of a funny story,55200000.0,73,"Nov 1, 2013",dallas buyers club,5000000.0,27298285.0,60611845.0,55611845.0,2013
tt0790724,jack reacher,2012,"Action,Crime,Thriller",7.0,284547.0,Par.,80100000.0,138300000.0,18.312,6.4,4155,Jack Reacher,tooth fairy,218400000.0,68,"Dec 21, 2012",jack reacher,60000000.0,80070736.0,217370736.0,157370736.0,2012
tt0790736,r.i.p.d.,2013,"Action,Adventure,Comedy",5.6,109078.0,Uni.,33600000.0,44700000.0,21.377,5.6,2047,R.I.P.D.,the danish girl,78300000.0,55,"Jul 19, 2013",r.i.p.d.,130000000.0,33618855.0,79076678.0,-50923322.0,2013
tt0800369,thor,2011,"Action,Adventure,Fantasy",7.0,683264.0,Par.,181000000.0,268300000.0,38.06800000000001,6.7,12764,Thor,jack and jill,449300000.0,70,"May 6, 2011",thor,150000000.0,181030624.0,449326618.0,299326618.0,2011
tt0803096,warcraft,2016,"Action,Adventure,Fantasy",6.9,225557.0,Uni.,47400000.0,386300000.0,21.464,6.3,4071,Warcraft,take me home tonight,433700000.0,46,"Jun 10, 2016",warcraft,160000000.0,47225655.0,425522281.0,265522281.0,2016
tt0804497,it's kind of a funny story,2010,"Comedy,Drama,Romance",7.1,125583.0,Focus,6400000.0,128000.0,10.01,7.0,1324,It's Kind of a Funny Story,she's out of my league,6528000.0,1,"Oct 8, 2010",it's kind of a funny story,8000000.0,6363628.0,6632950.0,-1367050.0,2010
tt0808510,tooth fairy,2010,"Comedy,Family,Fantasy",5.0,37939.0,Fox,60000000.0,52400000.0,12.65,5.3,1058,Tooth Fairy,the book thief,112400000.0,23,"Jan 22, 2010",tooth fairy,48000000.0,60022256.0,112610386.0,64610386.0,2010
tt0810913,jack and jill,2011,Comedy,3.3,71361.0,Sony,74200000.0,75500000.0,11.277,4.1,1124,Jack and Jill,priest,149700000.0,11,"Nov 11, 2011",jack and jill,79000000.0,74158157.0,150519217.0,71519217.0,2011
tt0810922,take me home tonight,2011,"Comedy,Drama,Romance",6.3,48393.0,Rela.,6900000.0,18700000.0,11.321,6.1,339,Take Me Home Tonight,dracula untold,25600000.0,48,"Mar 4, 2011",take me home tonight,19000000.0,6928068.0,7576604.0,-11423396.0,2011
tt0815236,she's out of my league,2010,"Comedy,Romance",6.4,117245.0,Par.,32000000.0,17800000.0,7.775,6.1,970,She's Out of My League,the babymakers,49800000.0,62,"Mar 12, 2010",she's out of my league,20000000.0,32010860.0,48680977.0,28680977.0,2010
tt0816442,the book thief,2013,"Drama,War",7.6,119023.0,Fox,21500000.0,55100000.0,9.034,7.5,2788,The Book Thief,hotel transylvania,76600000.0,41,"Nov 8, 2013",the book thief,19000000.0,21488481.0,76086711.0,57086711.0,2013
tt0816692,interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,1299334.0,Par.,188000000.0,489400000.0,28.44,8.2,18597,Interstellar,the town,677400000.0,32,"Nov 5, 2014",interstellar,165000000.0,188017894.0,666379375.0,501379375.0,2014
tt0816711,world war z,2013,"Action,Adventure,Horror",7.0,553751.0,Par.,202400000.0,337600000.0,14.582,6.7,9132,World War Z,the kids are all right,540000000.0,69,"Jun 21, 2013",world war z,190000000.0,202359711.0,531514650.0,341514650.0,2013
tt0817177,flipped,2010,"Comedy,Drama,Romance",7.7,74937.0,WB,1800000.0,18700000.0,9.781,7.4,859,Flipped,hoodwinked too! hood vs. evil,20500000.0,22,"Aug 6, 2010",flipped,14000000.0,1755212.0,4289993.0,-9710007.0,2010
tt0817230,valentine's day,2010,"Comedy,Romance",5.7,107171.0,WB (NL),110500000.0,106000000.0,11.187,5.8,1907,Valentine's Day,epic,216500000.0,70,"Feb 12, 2010",valentine's day,52000000.0,110485654.0,217569328.0,165569328.0,2010
tt0822847,priest,2011,"Action,Adventure,Fantasy",5.7,108320.0,SGem,29100000.0,49200000.0,15.318,5.5,1157,Priest,mr. peabody & sherman,78300000.0,29,"May 13, 2011",priest,60000000.0,29136626.0,84154026.0,24154026.0,2011
tt0829150,dracula untold,2014,"Action,Drama,Fantasy",6.3,164829.0,Uni.,56300000.0,160800000.0,29.043000000000006,6.2,3719,Dracula Untold,my soul to take,217100000.0,21,"Oct 10, 2014",dracula untold,70000000.0,55991880.0,220241723.0,150241723.0,2014
tt0837562,hotel transylvania,2012,"Animation,Comedy,Family",7.1,204571.0,Sony,148300000.0,210100000.0,15.318,6.9,5013,Hotel Transylvania,please give,358400000.0,96,"Sep 28, 2012",hotel transylvania,85000000.0,148313048.0,378505812.0,293505812.0,2012
tt0840361,the town,2010,"Crime,Drama,Thriller",7.6,322524.0,WB,92200000.0,61800000.0,13.476,7.1,2386,The Town,eat pray love,154000000.0,92,"Sep 17, 2010",the town,37000000.0,92186262.0,152566881.0,115566881.0,2010
tt0842926,the kids are all right,2010,"Comedy,Drama,Romance",7.0,120656.0,Focus,20800000.0,13900000.0,8.426,6.6,854,The Kids Are All Right,sanctum,34700000.0,87,"Jul 9, 2010",the kids are all right,4000000.0,20811365.0,36275469.0,32275469.0,2010
tt0848537,epic,2013,"Adventure,Animation,Family",6.7,95318.0,Fox,107500000.0,160900000.0,13.995,6.4,1670,Epic,the wedding ringer,268400000.0,77,"May 24, 2013",epic,100000000.0,107518682.0,262794441.0,162794441.0,2013
tt0864835,mr. peabody & sherman,2014,"Adventure,Animation,Comedy",6.8,57277.0,Fox,111500000.0,164200000.0,12.813,6.6,1357,Mr. Peabody & Sherman,the switch,275700000.0,1,"Mar 7, 2014",mr. peabody & sherman,145000000.0,111506430.0,269806430.0,124806430.0,2014
tt0872230,my soul to take,2010,"Horror,Mystery,Thriller",4.8,18381.0,Uni.,14700000.0,6200000.0,9.808,5.4,247,My Soul to Take,letters to juliet,20900000.0,68,"Oct 8, 2010",my soul to take,25000000.0,14744435.0,16727470.0,-8272530.0,2010
tt0873886,red state,2011,"Action,Crime,Horror",6.2,59266.0,SMod,1100000.0,18700000.0,7.816,6.1,472,Red State,how to train your dragon,19800000.0,22,"Sep 23, 2011",red state,4000000.0,1065429.0,1983596.0,-2016404.0,2011
tt0878835,please give,2010,"Comedy,Drama",6.6,10652.0,SPC,4000000.0,280000.0,5.945,6.3,81,Please Give,shrek forever after,4280000.0,15,"Apr 30, 2010",please give,3000000.0,4033574.0,4570178.0,1570178.0,2010
tt0879870,eat pray love,2010,"Drama,Romance",5.8,77709.0,Sony,80600000.0,124000000.0,9.991,6.0,1208,Eat Pray Love,from prada to nada,204600000.0,67,"Aug 13, 2010",eat pray love,60000000.0,80574010.0,206598789.0,146598789.0,2010
tt0881320,sanctum,2011,"Adventure,Drama,Thriller",5.9,51318.0,Uni.,23200000.0,85400000.0,7.457000000000002,5.9,515,Sanctum,the hobbit: an unexpected journey,108600000.0,45,"Feb 4, 2011",sanctum,30000000.0,23209310.0,108957098.0,78957098.0,2011
tt0882977,snitch,2013,"Action,Drama,Thriller",6.5,78142.0,LG/S,42900000.0,18700000.0,16.673,5.9,1493,Snitch,the legend of tarzan,61600000.0,26,"Feb 22, 2013",snitch,15000000.0,42930462.0,57907734.0,42907734.0,2013
tt0884732,the wedding ringer,2015,Comedy,6.7,66893.0,SGem,64500000.0,15300000.0,15.876,6.5,961,The Wedding Ringer,rabbit hole,79800000.0,73,"Jan 16, 2015",the wedding ringer,23000000.0,64460211.0,80171596.0,57171596.0,2015
tt0889573,the switch,2010,"Comedy,Drama,Romance",6.1,90661.0,Mira.,27800000.0,22100000.0,7.745,6.1,1008,The Switch,the last airbender,49900000.0,39,"Aug 20, 2010",the switch,19000000.0,27758465.0,49858465.0,30858465.0,2010
tt0892318,letters to juliet,2010,"Adventure,Comedy,Drama",6.6,86137.0,Sum.,53000000.0,26100000.0,9.394,6.9,1706,Letters to Juliet,salt,79100000.0,89,"May 14, 2010",letters to juliet,30000000.0,53032453.0,82148538.0,52148538.0,2010
tt0892769,how to train your dragon,2010,"Action,Adventure,Animation",8.1,611299.0,P/DW,217600000.0,277300000.0,28.734,7.7,7610,How to Train Your Dragon,source code,494900000.0,30,"Mar 26, 2010",how to train your dragon,165000000.0,217581232.0,494870992.0,329870992.0,2010
tt0892791,shrek forever after,2010,"Adventure,Animation,Comedy",6.3,167532.0,P/DW,238700000.0,513900000.0,15.041,6.1,3843,Shrek Forever After,black swan,752600000.0,27,"May 21, 2010",shrek forever after,165000000.0,238736787.0,756244673.0,591244673.0,2010
tt0903624,the hobbit: an unexpected journey,2012,"Adventure,Family,Fantasy",7.9,719629.0,WB (NL),303000000.0,718100000.0,26.939,7.2,12076,The Hobbit: An Unexpected Journey,the amazing spider-man,1021100000.0,19,"Dec 14, 2012",the hobbit: an unexpected journey,250000000.0,303003568.0,1017003568.0,767003568.0,2012
tt0918940,the legend of tarzan,2016,"Action,Adventure,Drama",6.3,150154.0,WB,126600000.0,230100000.0,14.797,5.8,4102,The Legend of Tarzan,the killer inside me,356700000.0,88,"Jul 1, 2016",the legend of tarzan,180000000.0,126643061.0,348902025.0,168902025.0,2016
tt0935075,rabbit hole,2010,Drama,7.0,45357.0,LGF,2200000.0,2900000.0,9.389,6.8,292,Rabbit Hole,robin hood,5100000.0,52,"Dec 17, 2010",rabbit hole,5000000.0,2229058.0,6205034.0,1205034.0,2010
tt0938283,the last airbender,2010,"Action,Adventure,Family",4.1,137734.0,Par.,131800000.0,187900000.0,16.595,4.6,2143,The Last Airbender,the sorcerer's apprentice,319700000.0,83,"Jul 1, 2010",the last airbender,150000000.0,131772187.0,319713881.0,169713881.0,2010
tt0944835,salt,2010,"Action,Mystery,Thriller",6.4,277204.0,Sony,118300000.0,175200000.0,13.025,6.3,3240,Salt,the fighter,293500000.0,50,"Jul 23, 2010",salt,130000000.0,118311368.0,290650494.0,160650494.0,2010
tt0945513,source code,2011,"Action,Drama,Sci-Fi",7.5,452036.0,Sum.,54700000.0,92600000.0,13.495,7.2,4529,Source Code,hugo,147300000.0,96,"Apr 1, 2011",source code,32000000.0,54712227.0,140428499.0,108428499.0,2011
tt0947798,black swan,2010,"Drama,Thriller",8.0,648854.0,FoxS,107000000.0,222400000.0,13.745,7.6,8374,Black Swan,little fockers,329400000.0,46,"Dec 3, 2010",black swan,13000000.0,106954678.0,331266710.0,318266710.0,2010
tt0947810,green zone,2010,"Action,Drama,Thriller",6.8,122132.0,Uni.,35100000.0,59800000.0,11.519,6.4,1176,Green Zone,justice league,94900000.0,98,"Mar 12, 2010",green zone,100000000.0,35497337.0,97523020.0,-2476980.0,2010
tt0948470,the amazing spider-man,2012,"Action,Adventure,Sci-Fi",7.0,525632.0,Sony,262000000.0,495900000.0,24.391,6.5,10411,The Amazing Spider-Man,justice league,757900000.0,31,"Jul 3, 2012",the amazing spider-man,220000000.0,262030663.0,757890267.0,537890267.0,2012
tt0954947,the killer inside me,2010,"Crime,Drama,Horror",6.1,31727.0,IFC,217000.0,3800000.0,7.0870000000000015,5.9,304,The Killer Inside Me,hitchcock,4017000.0,11,"Jun 18, 2010",the killer inside me,13000000.0,217277.0,3617277.0,-9382723.0,2010
tt0955308,robin hood,2010,"Action,Adventure,Drama",6.6,239480.0,Uni.,105300000.0,216400000.0,15.444,6.3,2569,Robin Hood,sucker punch,321700000.0,39,"May 14, 2010",robin hood,210000000.0,105487148.0,322459006.0,112459006.0,2010
tt0963966,the sorcerer's apprentice,2010,"Action,Adventure,Family",6.1,143862.0,BV,63200000.0,152100000.0,14.463,5.9,2879,The Sorcerer's Apprentice,the chronicles of narnia: the voyage of the dawn treader,215300000.0,44,"Jul 14, 2010",the sorcerer's apprentice,160000000.0,63150991.0,217986320.0,57986320.0,2010
tt0964517,the fighter,2010,"Biography,Drama,Sport",7.8,316539.0,Par.,93600000.0,35600000.0,10.395,7.3,2325,The Fighter,the adventures of tintin,129200000.0,68,"Dec 10, 2010",the fighter,11000000.0,93617009.0,129262388.0,118262388.0,2010
tt0970179,hugo,2011,"Adventure,Drama,Family",7.5,284869.0,Par.,73900000.0,111900000.0,12.936,7.1,4124,Hugo,machete,185800000.0,89,"Nov 23, 2011",hugo,180000000.0,73864507.0,180047784.0,47784.0,2011
tt0970866,little fockers,2010,"Comedy,Romance",5.5,99222.0,Uni.,148400000.0,162200000.0,12.153,5.6,1883,Little Fockers,dear john,310600000.0,70,"Dec 22, 2010",little fockers,100000000.0,148438600.0,310650574.0,210650574.0,2010
tt0974015,justice league,2017,"Action,Adventure,Fantasy",6.5,329135.0,WB,229000000.0,428900000.0,34.953,6.2,7510,Justice League,the green hornet,657900000.0,9,"Nov 17, 2017",justice league,300000000.0,229024295.0,655945209.0,355945209.0,2017
tt0974015,justice league,2017,"Action,Adventure,Fantasy",6.5,329135.0,WB,229000000.0,428900000.0,34.953,6.2,7510,Justice League,hanna,657900000.0,9,"Nov 17, 2017",justice league,300000000.0,229024295.0,655945209.0,355945209.0,2017
tt0974015,justice league,2017,"Action,Adventure,Fantasy",6.5,329135.0,WB,229000000.0,428900000.0,34.953,6.2,7510,Justice League,the wolf of wall street,657900000.0,9,"Nov 17, 2017",justice league,300000000.0,229024295.0,655945209.0,355945209.0,2017
tt0974015,justice league,2017,"Action,Adventure,Fantasy",6.5,329135.0,WB,229000000.0,428900000.0,34.953,6.2,7510,Justice League,megamind,657900000.0,9,"Nov 17, 2017",justice league,300000000.0,229024295.0,655945209.0,355945209.0,2017
tt0978764,sucker punch,2011,"Action,Adventure,Fantasy",6.1,218371.0,WB,36400000.0,53400000.0,14.416,6.0,2716,Sucker Punch,the iron lady,89800000.0,62,"Mar 25, 2011",sucker punch,75000000.0,36392502.0,89758389.0,14758389.0,2011
tt0980970,the chronicles of narnia: the voyage of the dawn treader,2010,"Adventure,Family,Fantasy",6.3,129663.0,Fox,104400000.0,311300000.0,17.382,6.3,3196,The Chronicles of Narnia: The Voyage of the Dawn Treader,child 44,415700000.0,48,"Dec 10, 2010",the chronicles of narnia: the voyage of the dawn treader,155000000.0,104386950.0,418186950.0,263186950.0,2010
tt0983193,the adventures of tintin,2011,"Action,Adventure,Animation",7.3,202430.0,Par.,77600000.0,296400000.0,11.981,6.8,3251,The Adventures of Tintin,the runaways,374000000.0,52,"Dec 21, 2011",the adventures of tintin,130000000.0,77591831.0,373993951.0,243993951.0,2011
tt0985694,machete,2010,"Action,Crime,Thriller",6.6,182320.0,Fox,26600000.0,17500000.0,12.557,6.3,1862,Machete,selma,44100000.0,18,"Sep 3, 2010",machete,12500000.0,26593646.0,46370970.0,33870970.0,2010
